playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG,OBP,1B,TB,SLG,OPS,PA,nameFirst,nameLast,birthYear,age,playerName
abramcj01,2025,1,WAS,NL,144,580,92,149,35,5,19,60.0,31.0,3.0,37,125.0,1.0,14.0,1.0,3.0,5.0,0.25689655172413794,0.31545741324921134,90,251,0.43275862068965515,0.7482160339388665,635.0,CJ,Abrams,2000.0,25.0,CJ Abrams
abreuwi02,2025,1,BOS,AL,115,373,53,92,17,0,22,69.0,6.0,3.0,40,101.0,5.0,0.0,1.0,3.0,8.0,0.24664879356568364,0.3173076923076923,53,175,0.4691689008042895,0.7864765931119818,417.0,Wilyer,Abreu,1999.0,26.0,Wilyer Abreu
acunaro01,2025,1,ATL,NL,95,338,74,98,12,1,21,42.0,9.0,1.0,71,102.0,4.0,3.0,0.0,0.0,5.0,0.28994082840236685,0.4174757281553398,64,175,0.5177514792899408,0.9352272074452805,412.0,Ronald,Acuña,1997.0,28.0,Ronald Acuña
adamewi01,2025,1,SFN,NL,160,591,94,133,22,2,30,87.0,12.0,4.0,80,179.0,2.0,5.0,0.0,9.0,9.0,0.22504230118443316,0.3182481751824818,79,249,0.4213197969543147,0.7395679721367965,685.0,Willy,Adames,1995.0,30.0,Willy Adames
adelljo01,2025,1,LAA,AL,152,526,63,124,18,1,37,98.0,5.0,1.0,33,151.0,0.0,10.0,0.0,1.0,10.0,0.23574144486692014,0.2929824561403509,68,255,0.4847908745247148,0.7777733306650657,570.0,Jo,Adell,1999.0,26.0,Jo Adell
albieoz01,2025,1,ATL,NL,157,603,74,145,23,2,16,74.0,14.0,3.0,55,94.0,2.0,4.0,0.0,5.0,9.0,0.24046434494195687,0.3058470764617691,104,220,0.3648424543946932,0.6706895308564623,667.0,Ozzie,Albies,1997.0,28.0,Ozzie Albies
allenni02,2025,1,ATL,NL,135,371,32,82,11,0,0,22.0,8.0,7.0,31,99.0,0.0,3.0,8.0,3.0,8.0,0.2210242587601078,0.28431372549019607,71,93,0.25067385444743934,0.5349875799376353,416.0,Nick,Allen,1998.0,27.0,Nick Allen
alonspe01,2025,1,NYN,NL,162,624,87,170,41,1,38,126.0,1.0,2.0,61,162.0,5.0,15.0,0.0,9.0,23.0,0.2724358974358974,0.3469675599435825,90,327,0.5240384615384616,0.8710060214820441,709.0,Pete,Alonso,1994.0,31.0,Pete Alonso
altuvjo01,2025,1,HOU,AL,155,588,80,156,24,1,26,77.0,10.0,6.0,55,109.0,5.0,4.0,1.0,6.0,20.0,0.2653061224489796,0.32924961715160794,105,260,0.4421768707482993,0.7714264878999073,654.0,Jose,Altuve,1990.0,35.0,Jose Altuve
anthoro01,2025,1,BOS,AL,71,257,48,75,18,1,8,32.0,4.0,1.0,40,84.0,0.0,5.0,0.0,1.0,2.0,0.2918287937743191,0.39603960396039606,48,119,0.46303501945525294,0.859074623415649,303.0,Roman,Anthony,2004.0,21.0,Roman Anthony
arandjo01,2025,1,TBA,AL,106,370,56,117,22,0,14,59.0,0.0,2.0,41,107.0,3.0,8.0,0.0,3.0,9.0,0.3162162162162162,0.3933649289099526,81,181,0.4891891891891892,0.8825541180991419,422.0,Jonathan,Aranda,1998.0,27.0,Jonathan Aranda
arenano01,2025,1,SLN,NL,107,401,48,95,18,1,12,52.0,3.0,0.0,28,49.0,4.0,3.0,0.0,4.0,10.0,0.23690773067331672,0.2889908256880734,64,151,0.3765586034912718,0.6655494291793451,436.0,Nolan,Arenado,1991.0,34.0,Nolan Arenado
ariasga01,2025,1,CLE,AL,129,432,44,95,25,2,11,54.0,8.0,4.0,27,162.0,1.0,7.0,1.0,4.0,8.0,0.2199074074074074,0.274468085106383,57,157,0.36342592592592593,0.6378940110323089,471.0,Gabriel,Arias,2000.0,25.0,Gabriel Arias
arozara01,2025,1,SEA,AL,160,613,95,146,32,1,27,76.0,31.0,6.0,64,191.0,2.0,27.0,0.0,5.0,9.0,0.23817292006525284,0.3342736248236953,86,261,0.4257748776508972,0.7600485024745925,709.0,Randy,Arozarena,1995.0,30.0,Randy Arozarena
arraelu01,2025,1,SDN,NL,154,620,66,181,30,4,8,61.0,11.0,4.0,34,21.0,0.0,2.0,12.0,7.0,12.0,0.29193548387096774,0.3273001508295626,139,243,0.3919354838709677,0.7192356347005303,675.0,Luis,Arraez,1997.0,28.0,Luis Arraez
baderha01,2025,1,MIN,AL,96,271,31,70,13,0,12,38.0,10.0,4.0,27,81.0,0.0,7.0,0.0,2.0,3.0,0.25830258302583026,0.33876221498371334,45,119,0.43911439114391143,0.7778766061276248,307.0,Harrison,Bader,1994.0,31.0,Harrison Bader
baezja01,2025,1,DET,AL,126,417,55,107,17,3,12,57.0,5.0,1.0,10,109.0,0.0,6.0,0.0,3.0,8.0,0.2565947242206235,0.28211009174311924,75,166,0.3980815347721823,0.6801916265153015,436.0,Javier,Baez,1992.0,33.0,Javier Baez
bailepa01,2025,1,SFN,NL,135,409,47,91,18,3,6,55.0,1.0,0.0,30,133.0,0.0,3.0,4.0,6.0,7.0,0.22249388753056235,0.2767857142857143,64,133,0.3251833740831296,0.6019690883688439,452.0,Patrick,Bailey,1999.0,26.0,Patrick Bailey
baldwbr01,2025,1,CHA,AL,103,300,32,72,15,1,11,38.0,5.0,0.0,21,86.0,0.0,1.0,4.0,2.0,9.0,0.24,0.29012345679012347,45,122,0.4066666666666667,0.6967901234567901,328.0,Brooks,Baldwin,2000.0,25.0,Brooks Baldwin
baldwdr01,2025,1,ATL,NL,124,405,56,111,18,2,19,80.0,0.0,0.0,38,68.0,0.0,3.0,0.0,0.0,9.0,0.2740740740740741,0.34080717488789236,72,190,0.4691358024691358,0.8099429773570281,446.0,Drake,Baldwin,2001.0,24.0,Drake Baldwin
bargead01,2025,1,TOR,AL,135,460,61,112,32,1,21,74.0,4.0,1.0,36,121.0,4.0,3.0,0.0,2.0,8.0,0.24347826086956523,0.3013972055888224,58,209,0.4543478260869565,0.7557450316757789,501.0,Addison,Barger,1999.0,26.0,Addison Barger
bartjo01,2025,1,PIT,NL,93,285,21,71,12,1,4,30.0,1.0,1.0,40,93.0,0.0,7.0,0.0,0.0,14.0,0.24912280701754386,0.35542168674698793,54,97,0.34035087719298246,0.6957725639399703,332.0,Joey,Bart,1996.0,29.0,Joey Bart
batybr01,2025,1,NYN,NL,130,393,53,100,13,2,18,50.0,8.0,0.0,33,108.0,0.0,2.0,0.0,3.0,6.0,0.2544529262086514,0.31322505800464034,67,171,0.4351145038167939,0.7483395618214342,431.0,Brett,Baty,1999.0,26.0,Brett Baty
beckjo01,2025,1,COL,NL,148,539,62,139,27,5,16,53.0,19.0,8.0,43,174.0,0.0,4.0,0.0,1.0,9.0,0.25788497217068646,0.31686541737649065,91,224,0.4155844155844156,0.7324498329609063,587.0,Jordan,Beck,2001.0,24.0,Jordan Beck
bellico01,2025,1,NYA,AL,152,588,89,160,25,5,29,98.0,13.0,2.0,57,90.0,1.0,2.0,0.0,9.0,8.0,0.272108843537415,0.33384146341463417,101,282,0.47959183673469385,0.813433300149328,656.0,Cody,Bellinger,1995.0,30.0,Cody Bellinger
belljo02,2025,1,WAS,NL,140,468,54,111,16,1,22,63.0,0.0,3.0,57,88.0,1.0,5.0,0.0,3.0,15.0,0.23717948717948717,0.324577861163227,72,195,0.4166666666666667,0.7412445278298937,533.0,Josh,Bell,1992.0,33.0,Josh Bell
beninan01,2025,1,CHA,AL,116,420,57,101,16,2,20,63.0,1.0,0.0,40,82.0,2.0,3.0,0.0,6.0,5.0,0.24047619047619048,0.3070362473347548,63,181,0.430952380952381,0.7379886282871357,469.0,Andrew,Benintendi,1994.0,31.0,Andrew Benintendi
bettsmo01,2025,1,LAN,NL,150,589,95,152,23,2,20,82.0,8.0,2.0,61,68.0,2.0,3.0,0.0,10.0,15.0,0.25806451612903225,0.3257918552036199,107,239,0.4057724957555178,0.7315643509591377,663.0,Mookie,Betts,1992.0,33.0,Mookie Betts
