playerName,age,teamID,G,AB,AVG,OBP,SLG,OPS,HR,RBI,projected_2025_OPS,projection_change,category
Shohei Ohtani,30.0,LAN,159,636,0.3097484276729559,0.3901098901098901,0.6462264150943396,1.0363363052042298,54,130.0,0.9828500786762033,-0.05348622652802648,Decline Risk
Aaron Judge,32.0,NYA,158,559,0.3220035778175313,0.4580369843527738,0.7012522361359571,1.159289220488731,58,144.0,0.9690305102683595,-0.19025871022037155,Decline Risk
Juan Soto,26.0,NYA,157,576,0.2881944444444444,0.4193548387096774,0.5694444444444444,0.988799283154122,41,109.0,0.9285233563609055,-0.06027592679321647,Stable
Brent Rooker,30.0,OAK,145,546,0.293040293040293,0.3648208469055374,0.5622710622710623,0.9270919091765996,39,112.0,0.8789113728908724,-0.04818053628572716,Decline Risk
Kyle Tucker,27.0,HOU,78,277,0.2888086642599278,0.4077380952380952,0.5848375451263538,0.992575640364449,23,49.0,0.8733715202480705,-0.11920412011637849,Stable
Bobby Witt,24.0,KCA,161,636,0.3317610062893081,0.389280677009873,0.5880503144654088,0.977330991475282,32,109.0,0.8697689699001576,-0.1075620215751244,Stable
Marcell Ozuna,34.0,ATL,162,606,0.3019801980198019,0.3784570596797671,0.5462046204620462,0.9246616801418132,39,104.0,0.8542821485637497,-0.07037953157806343,Decline Risk
Vladimir Guerrero,25.0,TOR,159,616,0.323051948051948,0.3959827833572453,0.5438311688311688,0.939813952188414,30,103.0,0.851375252180943,-0.088438700007471,Stable
Ketel Marte,31.0,ARI,136,504,0.2916666666666667,0.3722126929674099,0.5595238095238095,0.9317365024912194,36,95.0,0.8460913335142374,-0.08564516897698204,Decline Risk
Matt Olson,30.0,ATL,162,600,0.2466666666666666,0.3328467153284671,0.4566666666666666,0.7895133819951339,29,98.0,0.8437090723929347,0.05419569039780081,Stable
Jose Ramirez,32.0,CLE,158,620,0.2790322580645161,0.3348017621145374,0.5370967741935484,0.8718985363080858,39,118.0,0.8428987242332149,-0.0289998120748709,Stable
Corey Seager,30.0,TEX,123,475,0.2778947368421052,0.3527204502814259,0.511578947368421,0.864299397649847,30,74.0,0.8419369924548673,-0.022362405194979673,Stable
Gunnar Henderson,23.0,BAL,159,630,0.2809523809523809,0.364394993045897,0.5285714285714286,0.8929664216173256,37,92.0,0.8419355084341689,-0.05103091318315678,Stable
Fernando Tatis,25.0,SDN,102,398,0.2763819095477386,0.3401826484018265,0.4924623115577889,0.8326449599596155,21,49.0,0.8401548513828285,0.007509891423213011,Stable
